TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime;;;;;
P120_PV;55:44.0;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:55;;;;;
P120_PV;55:50.1;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:55;;;;;
P120_PV;55:56.1;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:55;;;;;
P120_PV;56:02.2;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:55;;;;;
P120_PV;56:08.2;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:14.3;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:20.4;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:26.4;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:32.5;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:38.5;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:44.6;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:50.7;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;56:56.7;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;57:02.8;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:56;;;;;
P120_PV;57:08.8;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:14.9;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:21.0;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:27.0;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:33.1;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:39.1;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:45.2;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:51.3;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;57:57.3;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;58:03.4;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:57;;;;;
P120_PV;58:09.4;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:58;;;;;
P120_PV;58:15.5;0.006103702;6.10E-03;0;100;0;100;rpm;0;192;Good;6060;18/09/2024 09:58;;;;;
